window,regime,train_period,test_period,val_threshold,sharpe,trades,win_rate
roll_2020-07,Recov,2018-07-01~2020-07-01,2020-07-01~2021-01-01,0.46000000000000013,0.0,0,0.0
roll_2021-01,Peak,2019-01-01~2021-01-01,2021-01-01~2021-07-01,0.47000000000000014,0.9008228975044895,1,0.5
roll_2021-07,Peak,2019-07-01~2021-07-01,2021-07-01~2022-01-01,0.5000000000000002,0.0,0,0.0
roll_2022-01,Crash,2020-01-01~2022-01-01,2022-01-01~2022-07-01,0.49000000000000016,0.0,0,0.0
roll_2022-07,Bear,2020-07-01~2022-07-01,2022-07-01~2023-01-01,0.48000000000000015,0.0,0,0.0
roll_2023-01,Recov,2021-01-01~2023-01-01,2023-01-01~2023-07-01,0.4500000000000001,2.183727253416708,21,0.463768115942029
roll_2023-07,Recov,2021-07-01~2023-07-01,2023-07-01~2024-01-01,0.47000000000000014,1.3150093881330696,9,0.45394736842105265
roll_2024-01,Bull,2022-01-01~2024-01-01,2024-01-01~2024-07-01,0.4000000000000001,1.7019015487751898,1,0.5298013245033113
roll_2024-07,Bull,2022-07-01~2024-07-01,2024-07-01~2025-01-01,0.5000000000000002,0.0,0,0.0
roll_2025-01,Bull,2023-01-01~2025-01-01,2025-01-01~2025-07-01,0.47000000000000014,0.6177975818768054,1,0.5
roll_2025-07,Bear,2023-07-01~2025-07-01,2025-07-01~2026-01-01,0.4500000000000001,-0.9562443795493322,1,0.48366013071895425
